Year,US Per-Capita GDP,MA Per-Capita GDP,MA Population
2021,69221,91129,6984723
2020,65595,86394,7022220
2019,68164,90699,6894883
2018,66987,87892,6885720
2017,65472,85209,6863560
2016,64472,84383,6827280
2015,63906,82977,6797484
2014,62711,79419,6764864
2013,61792,78706,6715158
2012,61132,78670,6664269
2011,60234,77577,6614218
2010,59785,77068,6566440
2009,58700,74636,6517613
2008,60801,75732,6468967
2007,61300,75198,6431559
2006,60671,73548,6410084
2005,59591,72248,6403290
2004,58122,71090,6412281
2003,56474,69414,6422565
2002,55447,68714,6417206
2001,55044,68846,6397634
2000,55069,68875,6361104
